"№ сертификата","Дата внесения в реестр","Срок действия сертификата","Наименование средства (шифр)","Наименования документов, требованиям которых соответствует средство","Схема сертификации","Испытательная лаборатория","Орган по сертификации","Заявитель","Реквизиты заявителя (индекс, адрес, телефон)","Информация об окончании срока технической поддержки, полученная от заявителя"
"4443","2021-08-20","2026-08-20","программный комплекс «Гарда DBF»","Соответствует требованиям документов: Требования доверия(4), ТУ","серия","АО «Информакустика»","АО «НПО «Эшелон»","ООО «Гарда Технологии»","603057, г. Нижний Новгород, пр. Гагарина, д. 50, корп. 9, (831) 422-1221","2031-12-31"
"4444","2021-09-23","2026-09-23","операционная система «Циркон 37К»","Соответствует требованиям документов: Требования доверия(4), Требования к ОС, Профиль защиты ОС(А четвертого класса защиты. ИТ.ОС.А4.ПЗ), ЗБ","серия","АО «СИНКЛИТ»","ООО «ЦБИ»","АО «МВП «СВЕМЕЛ»","127254, г. Москва, пр-к Огородный, д. 5, стр. 5, (495) 926-71-87",""
"4445","2021-09-09","2026-09-09","прикладное программное обеспечение Автоматизированной информационной системы «Обеспечение прохода и учет посещаемости учреждений Департамента культуры города Москвы»","Соответствует требованиям документов: Требования доверия(6), ТУ","1","АО «ДОКУМЕНТАЛЬНЫЕ СИСТЕМЫ»","ФСТЭК России","ГКУ «Инфогород»","123112, г. Москва, 1-й Красногвардейский проезд, д. 21, стр. 1, (495) 957-0131",""
"4446","2021-09-10","2026-09-10","средство аутентификации и безопасного хранения информации пользователей JaCarta","Соответствует требованиям документов: Требования доверия(4), ТУ","серия","ООО НТЦ «Фобос-НТ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","АО «Аладдин Р.Д.»","129226, г. Москва, ул. Докукина, д. 16, стр. 1, (495) 223-0001","2029-06-30"
"4447","2021-09-10","2026-09-10","специальное программное обеспечение средств защиты информации от несанкционированного доступа «Аккорд-Х К»","Соответствует требованиям документов: Требования доверия(4), РД СВТ(5), ТУ","серия","ООО «ЦБИ»","АО «Лаборатория ППШ»","АО «ОКБ САПР»","115114, г. Москва, 2-й Кожевнический переулок, д. 12, эт. 2, пом. I, ком. 21, (495) 994-7262",""
"4448","2021-10-28","2026-10-28","межсетевой экран ESR-21, версия программного обеспечения 1.5","Соответствует требованиям документов: Требования доверия(4), Требования к МЭ, Профиль защиты МЭ(А четвертого класса защиты. ИТ.МЭ.А4.ПЗ)","серия","ООО «ЦБИ»","АО «Лаборатория ППШ»","ООО «Предприятие «ЭЛТЕКС»","630020, г. Новосибирск, ул. Окружная, д. 29В, (383) 274-4800","бессрочно"
"4449","2021-10-28","2026-10-28","межсетевой экран ESR-20, версия программного обеспечения 1.5","Соответствует требованиям документов: Требования доверия(4), Требования к МЭ, Профиль защиты МЭ(А четвертого класса защиты. ИТ.МЭ.А4.ПЗ)","серия","ООО «ЦБИ»","АО «Лаборатория ППШ»","ООО «Предприятие «ЭЛТЕКС»","630020, г. Новосибирск, ул. Окружная, д. 29В, (383) 274-4800",""
"4450","2021-09-15","2026-09-15","прикладное программное обеспечение «Автоматизированная информационная система Уполномоченного по защите прав предпринимателей в городе Москве»","Соответствует требованиям документов: Требования доверия(6), ТУ","1","АО «ДОКУМЕНТАЛЬНЫЕ СИСТЕМЫ»","ФСТЭК России","Департамент информационных технологий города Москвы","123112, г. Москва, Красногвардейский 1-й проезд, д. 21, стр. 1, (495) 957-0131",""
"4451","2021-09-20","2026-09-20","программный комплекс оперативного мониторинга состояния информационной безопасности и контроля состояния защищенности производственно-технологических комплексов «CyberLympha DATAPK»","Соответствует требованиям документов: Требования доверия(6), Требования к СОВ, Профили защиты СОВ(cети шестого класса защиты. ИТ.СОВ.С6.ПЗ), ЗБ","серия","АО «ИНСЕК-СЗ»","ООО «ЦБИ»","ООО «СайберЛимфа»","121205, г.Москва, вн.тер.г. муниципальный округ Можайский, тер. Сколково инновационного центра, ул. Нобеля, д.7, эт.4, (343)379-98-34 (доб.1780)","2028-09-20"
"4452","2021-10-26","2026-10-26","фильтр электромагнитных излучений технических средств «ФИЛЬТР ФЭМИ-01»","Соответствует требованиям документов: ТУ","серия","ООО «ЦБИ»","АО «НПО «Эшелон»","АО НПП «ЭПБ»","127018, г. Москва, Октябрьская ул., д. 38, кор. 1, (495) 780-35-98",""
"4453","2021-09-27","2026-09-27","программное средство оценки защиты акустической речевой информации от утечки за счёт акустоэлектрических преобразований в технических средствах и системах «ОЗАРИ-2018»","Соответствует требованиям документов: ТУ, Методика АЭП-2018","серия","АНО «Институт инженерной физики»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ООО «ЦБИ»","141090, Московская область, г. Королев, микрорайон Юбилейный, ул. Ленинская, д. 11, (495) 543-3060",""
"4454","2021-09-27","2026-09-27","программное обеспечение «Модуль управления Автоматизированной информационной системы «Электронный дом»","Соответствует требованиям документов: Требования доверия(6), ТУ","1","АО «ДОКУМЕНТАЛЬНЫЕ СИСТЕМЫ»","ФСТЭК России","Департамент информационных технологий города Москвы","123112, г. Москва, Красногвардейский 1-й проезд, д. 21, стр. 1, (495) 957-0131",""
"4455","2021-09-28","2026-09-28","программное изделие «Kaspersky Unified Monitoring and Analysis Platform»","Соответствует требованиям документов: Требования доверия(4), ТУ","серия","ООО НТЦ «Фобос-НТ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","АО «Лаборатория Касперского»","125212, г. Москва, Ленинградское шоссе, д. 39А, стр. 2, (495) 797-8700","2031-09-28"
"4456","2021-09-28","2026-09-28","программное обеспечение «Модуль управления системы «Активный гражданин»","Соответствует требованиям документов: Требования доверия(6), ТУ","1","АО «ДОКУМЕНТАЛЬНЫЕ СИСТЕМЫ»","ФСТЭК России","Департамент информационных технологий города Москвы","123112, г. Москва, Красногвардейский 1-й проезд, д. 21, стр. 1, (495) 957-0131",""
"4457","2021-12-02","2026-12-02","Служебный сервис автоматизированного информационно-аналитического учета обеспечения безопасности на транспорте в составе ИСОД МВД России","Соответствует требованиям документов: Требования доверия(4), ТУ","1","АО «НПО «Эшелон»","ФСТЭК России","МВД России","119049, г. Москва, ул. Житная, д. 16, (495) 667-5206",""
"4458","2021-12-03","2026-12-03","программный комплекс формирования и ведения единого банка данных подразделений архивной информации органов внутренних дел Российской Федерации","Соответствует требованиям документов: Требования доверия(4), ТУ","1","АО «НПО «Эшелон»","ФСТЭК России","МВД России","119049, г. Москва, ул. Житная, д. 16, (495) 667-5206",""
"4459","2021-09-30","2026-09-30","программный комплекс Solar Dozor версии 7","Соответствует требованиям документов: Требования доверия(4), ТУ","серия","АО «Лаборатория ППШ»","АО «НПО «Эшелон»","АО «СОЛАР СЕКЬЮРИТИ»","127015, г. Москва, ул. Вятская, д. 35, стр. 4, этаж 4, помещение № 7, комнаты 12, 20-23, 25-34, 48-54, 65, (499) 755-0770","2027-12-31"
"4460","2021-10-05","2026-10-05","программное обеспечение «WebGard 2.0»","Соответствует требованиям документов: Требования доверия(4), ТУ","серия","ООО «НПО ВС»","АО «НПО «Эшелон»","ООО «Поволжский удостоверяющий центр»","420097, Республика Татарстан, г. Казань, ул. Лейтенанта Шмидта, д. 35А, офис 113, 8(843)2-100-251","2027-12-31"
"4463","2021-12-03","2026-12-03","программное обеспечение «Информационно-поисковая система Сервис ИСОД МВД России «Незаконный оборот наркотиков»","Соответствует требованиям документов: Требования доверия(4), ТУ","1","АО «НПО «Эшелон»","ФСТЭК России","МВД России","119049, г. Москва, ул. Житная, д. 16, (495) 667-5206",""
"4464","2021-11-01","2026-11-01","прикладное программное обеспечение «Облачная платформа Сбербанка»","Соответствует требованиям документов: Требования доверия(4), ТУ","серия","АО «ДОКУМЕНТАЛЬНЫЕ СИСТЕМЫ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ООО «Облачные технологии»","117312, г. Москва, ул. Вавилова, д. 23, стр. 1, ком. 1.207","2029-12-30"
"4465","2021-10-11","2026-10-11","система контроля действий поставщиков ИТ-услуг (СКДПУ)","Соответствует требованиям документов: Требования доверия(4), ТУ","серия","ООО «ЦБИ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ООО «АйТи Бастион»","119501, г. Москва, вн.тер.г. муниципальный округ Очаково-Матвеевский, ул. Староволынская, д. 15, корп. 1, помещ. 43, (499) 322-3667",""
"4466","2021-10-15","2026-10-15","специальное программное обеспечение «Водопад-НЧР»","Соответствует требованиям документов: ТУ, Методика АЭП-2018","серия","АО «БИТК»","ООО «ЦБИ»","ФГУП «НПП «Гамма»","117393, г. Москва, ул. Профсоюзная, д. 78, стр. 4, (495) 514-0274, (495) 663-1684","2031-10-15"
"4467","2021-10-18","2026-10-18","Directum RX","Соответствует требованиям документов: Требования доверия(4), ТУ","серия","АО «Лаборатория ППШ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ООО «ДИРЕКТУМ»","426011, г. Ижевск, пер. Северный, д. 61, (3412) 72-1100",""
"4468","2021-10-18","2026-10-18","изделие «ViPNet SafePoint»","Соответствует требованиям документов: Требования доверия(4), Требования к СКН, Профиль защиты СКН(контроля подключения съемных машинных носителей информации четвертого класса защиты. ИТ.СКН.П4.ПЗ), ЗБ, РД СВТ(5)","серия","АНО «Институт инженерной физики»","ООО «ЦБИ»","АО «ИнфоТеКС»","125167, г. Москва, вн.тер.г. муниципальный округ Хорошевский, ул. Викторенко, д. 9, стр. 1, помещ. 47, (495) 737-6192","2026-10-18"
"4469","2021-10-21","2026-10-21","Программное обеспечение устройства серии БЭМП","Соответствует требованиям документов: Требования доверия(4), Требования к ОС, Профиль защиты ОС(Б четвертого класса защиты. ИТ.ОС.Б4.ПЗ), ЗБ","серия","ФГУП «РФЯЦ-ВНИИЭФ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ООО «Интеллектуальные Сети»","428020, г. Чебоксары, Пристанционная ул., д. 1, кор. 9, (831) 280-9789",""
"4470","2021-11-23","2026-11-23","Программное обеспечение измерительных устройств серии ЩМ","Соответствует требованиям документов: Требования доверия(4), ЗБ","серия","ФГУП «РФЯЦ-ВНИИЭФ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ООО «Интеллектуальные Сети»","428020, г. Чебоксары, Пристанционная ул., д. 1, кор. 9, (831) 280-9789",""
"4471","2021-11-23","2026-11-23","программно-аппаратный комплекс однонаправленной передачи данных Numa uGate","Соответствует требованиям документов: Требования доверия(2), ТУ","серия","АО «Лаборатория ППШ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ООО «НумаТех»","196084, г. Санкт-Петербург, ул. Цветочная, д. 18, лит. А, офис 424, (812) 309-0601","2036-12-31"
"4472","2021-10-25","2026-10-25","специальное программное обеспечение системы видеонаблюдения «АССаД-Видео»","Соответствует требованиям документов: Требования доверия(3), РД АСФЗ(1)","серия","АО «ИНСЕК-СЗ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","АО «АЛГОНТ»","248009, г. Калуга, Грабцевское шоссе, д. 33, (4842) 58-0707","2036-06-10"
"4473","2021-10-27","2026-10-27","программный комплекс управления волоконно-оптической системой передачи со спектральным уплотнением «Волга» в составе компонента NMS «Фрактал» ТВСЕ.11011-04 (версия 4.0) для управления уровнем сети и компонентов «Атлас» (ПО CPU «Атлас -Р» ЦРСТ.00006-02) для управления уровнем сетевого элемента","Соответствует требованиям документов: Требования доверия(4), ЗБ","серия","АО «НПО «Эшелон»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ООО «Т8»","107076, г. Москва, ул. Краснобогатырская, д.44, стр.1, (495) 271-6161",""
"4474","2021-11-16","2026-11-16","«Компонент защиты информации Пергамент»","Соответствует требованиям документов: Требования доверия(2), ТУ","серия","АНО «Институт инженерной физики»","ООО «ЦБИ»","ООО «НПО ВС»","420029, Республика Татарстан, г. Казань, ул. Журналистов, дом 30, оф. 2, (843) 208-00-40",""
"4475","2021-11-24","2026-11-24","программное обеспечение «Автоматизированная информационная система Общегородская платформа совместных вычислений на агрегированных данных»","Соответствует требованиям документов: Требования доверия(6), ТУ","1","АО «ДОКУМЕНТАЛЬНЫЕ СИСТЕМЫ»","ФСТЭК России","Департамент информационных технологий города Москвы","123112, г. Москва, Красногвардейский 1-й проезд, д. 21, стр. 1, (495) 957-0131",""
"4476","2021-12-01","2026-12-01","программно-аппаратный комплекс «С-Терра Юнит». Версия 4.3","Соответствует требованиям документов: Требования доверия(4), Требования к МЭ, Профиль защиты МЭ(А четвертого класса защиты. ИТ.МЭ.А4.ПЗ)","серия","ЗАО ГИЦ ПС ВТ","ООО «ЦБИ»","ООО «С-Терра СиЭсПи»","124460, г. Москва, вн.тер.г. муниципальный округ Силино, г. Зеленоград, ул. Конструктора Лукина, д. 14, стр. 12, (499) 940-9061",""
"4477","2021-11-30","2026-11-30","программно-аппаратный комплекс «С-Терра Шлюз». Версия 4.3","Соответствует требованиям документов: Требования доверия(4), Требования к МЭ, Профиль защиты МЭ(А четвертого класса защиты. ИТ.МЭ.А4.ПЗ)","серия","ЗАО ГИЦ ПС ВТ","ООО «ЦБИ»","ООО «С-Терра СиЭсПи»","124460, г. Москва, вн.тер.г. муниципальный округ Силино, г. Зеленоград, ул. Конструктора Лукина, д. 14, стр. 12, (499) 940-9061",""
"4478","2021-11-30","2026-11-30","программный комплекс «С-Терра Шлюз». Версия 4.3","Соответствует требованиям документов: Требования доверия(4), Требования к МЭ, Профиль защиты МЭ(Б четвертого класса защиты. ИТ.МЭ.Б4.ПЗ)","серия","ЗАО ГИЦ ПС ВТ","ООО «ЦБИ»","ООО «С-Терра СиЭсПи»","124460, г. Москва, вн.тер.г. муниципальный округ Силино, г. Зеленоград, ул. Конструктора Лукина, д. 14, стр. 12, (499) 940-9061",""
"4479","2021-11-29","2026-11-29","программный комплекс «С-Терра Клиент». Версия 4.3","Соответствует требованиям документов: Требования доверия(4), Требования к МЭ, Профиль защиты МЭ(В четвертого класса защиты. ИТ.МЭ.В4.ПЗ)","серия","ЗАО ГИЦ ПС ВТ","ООО «ЦБИ»","ООО «С-Терра СиЭсПи»","124460, г. Москва, вн.тер.г. муниципальный округ Силино, г. Зеленоград, ул. Конструктора Лукина, д. 14, стр. 12, (499) 940-9061",""
"4481","2021-11-16","Бессрочно","Программное обеспечение «Единая система идентификации и аутентификации в инфраструктуре, обеспечивающей информационно-технологическое взаимодействие информационных систем, используемых для предоставления государственных и муниципальных услуг в электронной форме»","Соответствует требованиям документов: Требования доверия(4), ТУ","1","ООО «ЦБИ»","ФСТЭК России","АО «СОЛАР СЕКЬЮРИТИ»","127015, г. Москва, ул. Вятская, д. 35, стр. 4, этаж 4, помещение № 7, комнаты 12, 20-23, 25-34, 48-54, 65, (499) 755-0770",""
"4482","2021-11-23","2026-11-23","специализированное программное обеспечение «Тобол-ТВ» ЦКДИ.00047-03","Соответствует требованиям документов: Требования доверия(2), РД АСФЗ(1), ТУ","серия","АО «НПО «Эшелон»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","АО «ФЦНИВТ «СНПО «Элерон»","115563, г. Москва, ул. Генерала Белова, д. 14, (499) 725-0291",""
"4483","2021-11-23","2026-11-23","программный продукт «Тобол-АСБ» ЦКДИ.00066-03","Соответствует требованиям документов: Требования доверия(2), РД АСФЗ(1)","серия","АО «НПО «Эшелон»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","АО «ФЦНИВТ «СНПО «Элерон»","115563, г. Москва, ул. Генерала Белова, д. 14, (499) 725-0291",""
"4484","2021-11-23","2026-11-23","специальное программное обеспечение «Тобол-ИПК» ЦКДИ.00621-01","Соответствует требованиям документов: Требования доверия(2), РД АСФЗ(1)","серия","АО «НПО «Эшелон»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","АО «ФЦНИВТ «СНПО «Элерон»","115563, г. Москва, ул. Генерала Белова, д. 14, (499) 725-0291",""
"4485","2021-11-25","Бессрочно","программное обеспечение «Совокупность подсистем единого окна цифровой обратной связи государственной информационной системы «Единый портал государственных и муниципальных услуг (функций)» версия 1","Соответствует требованиям документов: Требования доверия(4), ТУ","1","ООО «ЦБИ»","ФСТЭК России","АО «СОЛАР СЕКЬЮРИТИ»","127015, г. Москва, ул. Вятская, д. 35, стр. 4, этаж 4, помещение № 7, комнаты 12, 20-23, 25-34, 48-54, 65, (499) 755-0770",""
"4486","2021-11-25","Бессрочно","прикладное программное обеспечение «Единый электронный сервис СМЭВ»","Соответствует требованиям документов: Требования доверия(4), ТУ","1","ООО «ЦБИ»","ФСТЭК России","АО «СОЛАР СЕКЬЮРИТИ»","127015, г. Москва, ул. Вятская, д. 35, стр. 4, этаж 4, помещение № 7, комнаты 12, 20-23, 25-34, 48-54, 65, (499) 755-0770",""
"4487","2021-11-25","2026-11-25","программное обеспечение «Единый портал государственных и муниципальных услуг»","Соответствует требованиям документов: Требования доверия(4), ТУ","1","ООО «ЦБИ»","ФСТЭК России","ПАО «Ростелеком»","191002, г. Санкт-Петербург, Синопская набережная, д. 14, лит. А, (499) 999-8022",""
"4488","2021-12-07","2026-12-07","программное обеспечение «Система контроля каналов передачи конфиденциальной информации Falcongaze SecureTower»","Соответствует требованиям документов: Требования доверия(6), Требования к СКН, Профиль защиты СКН(контроля подключения съемных машинных носителей информации шестого класса защиты. ИТ.СКН.П6.ПЗ), ТУ","серия","АО «ДОКУМЕНТАЛЬНЫЕ СИСТЕМЫ»","АО «НПО «Эшелон»","ООО «ФалконГейз»","105066, г. Москва, ул. Нижняя Красносельская, д. 35, стр. 9, эт. 3, ком. 2, (499) 116-3000",""
"4489","2021-12-21","2026-12-21","программное обеспечение «Базис.WorkPlace Security»","Соответствует требованиям документов: Требования доверия(4), ТУ","серия","АО Центр «Атомзащитаинформ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ООО «БАЗИС»","109316, г. Москва, вн. тер. г. Муниципальный округ Текстильщики, проезд Остаповский, дом 22, стр. 16, этаж 2, ком. 52",""
"4490","2021-12-14","2026-12-14","программно-аппаратный комплекс аутентификации, управления доступом и безопасного хранения информации и персональных данных пользователей, ключевой носитель ФОРОС 2","Соответствует требованиям документов: Требования доверия(4), ТУ","серия","АО «НПО «Эшелон»","АО «Лаборатория ППШ»","ООО «СмартПарк»","127220, г. Москва, ул. 2-я Квесисская, д. 24, корп. 3, (495) 927-0033","2031-12-14"
"4491","2021-12-15","2026-12-15","СУБД Platform V Pangolin","Соответствует требованиям документов: Требования доверия(4), ТУ","серия","АО «ДОКУМЕНТАЛЬНЫЕ СИСТЕМЫ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","акционерное общество «Сбербанк-Технологии»","117105, г. Москва, Новоданиловская набережная, д. 10, (495) 669-0808",""
"4492","2021-12-13","2026-12-13","программное обеспечение «Avanpost FAM»","Соответствует требованиям документов: Требования доверия(4), ТУ","серия","АО «НПО «Эшелон»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ООО «Аванпост»","109129, г. Москва, ул. 8-я Текстильщиков, д. 11, стр. 2, (495) 641-8080","2027-12-13"
"4493","2021-12-09","2026-12-09","Соната-РС3","Соответствует требованиям документов: Требования к САЗ ПЭМИН-2014(Б), ТУ","серия","АО «БИТК»","ООО «ЦБИ»","ООО «Анна»","111141, г. Москва, ул. Плеханова, д. 15А, стр. 5, (495) 232-60-63",""
"4494","2021-12-09","2026-12-09","программное обеспечение «Единый механизм идентификации и аутентификации пользователей ЦАП, а также аутентификации при входе пользователей через ЕСИА»","Соответствует требованиям документов: Требования доверия(5), ТУ","10","ООО «НТЦ «ИРБИС»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ФГАУ НИИ «Восход»","119607, г. Москва, ул. Удальцова, д. 85, (495) 981-8899",""
"4495","2021-12-09","2026-12-09","специальное программное обеспечение средств защиты информации от несанкционированного доступа «Аккорд-Win64 K»","Соответствует требованиям документов: Требования доверия(4), Требования к СКН, Профиль защиты СКН(контроля подключения съемных машинных носителей информации четвертого класса защиты. ИТ.СКН.П4.ПЗ), РД СВТ(5), ТУ","серия","ООО «ЦБИ»","АО «Лаборатория ППШ»","АО «ОКБ САПР»","115114, г. Москва, 2-й Кожевнический переулок, д. 12, эт. 2, пом. I, ком. 21, (495) 994-7262",""
"4496","2021-12-14","2026-12-14","комплекс безопасности «Континент». Версия 4.","Соответствует требованиям документов: Требования доверия(4), Требования к МЭ, Профиль защиты МЭ(А четвертого класса защиты. ИТ.МЭ.А4.ПЗ), Профиль защиты МЭ(Б четвертого класса защиты. ИТ.МЭ.Б4.ПЗ), Профиль защиты МЭ(Д четвертого класса защиты. ИТ.МЭ.Д4.ПЗ), Требования к СОВ, Профили защиты СОВ(cети четвертого класса защиты. ИТ.СОВ.С4.ПЗ), Требования к МЭ NGFW(4)","серия","ООО НТЦ «Фобос-НТ»","ООО «ЦБИ»","ООО «Код Безопасности»","129515, г. Москва, вн.тер.г. Муниципальный округ Останкинский, ул. Академика Королева, д. 13, стр. 1, пом. 13/8, (495) 982-3020","2032-12-14"
"4498","2021-12-18","2026-12-18","Межсетевой экран «Mail.Ru Cloud Firewall»","Соответствует требованиям документов: Требования доверия(6), Требования к МЭ, Профиль защиты МЭ(Б шестого класса защиты. ИТ.МЭ.Б6.ПЗ)","серия","ООО «ЛИССИ-Софт»","АО «НПО «Эшелон»","ООО «ВК Цифровые Технологии»","125167, г. Москва, Ленинградский проспект, д. 39, стр. 79, (495) 725-6357",""
"4499","2021-12-21","2026-12-21","Фильтр сетевой помехоподавляющий «ЛФС-200-3Ф»","Соответствует требованиям документов: Требования к ПСЗ ПЭМИН-2015, ТУ","серия","АО «Лаборатория ППШ»","ООО «ЦБИ»","ООО «Ленспецпроизводство»","199178, г. Санкт-Петербург, наб. реки Смоленки, д. 25, лит. Е, оф. 134, (812) 309-6170",""
"4500","2021-12-25","Бессрочно","прикладное программное обеспечение Единая биометрическая система","Соответствует требованиям документов: Требования доверия(4), ТУ","1","АО «СТ Групп»","ФСТЭК России","АО ЦБТ","115035, г. Москва, Овчинниковская наб., д. 18/1, стр. 2, (495) 727-27-70",""
"4501","2021-12-28","2026-12-28","программно-аппаратный комплекс ViPNet xFirewall 5","Соответствует требованиям документов: Требования доверия(4), Требования к МЭ, Профиль защиты МЭ(А четвертого класса защиты. ИТ.МЭ.А4.ПЗ), Профиль защиты МЭ(Б четвертого класса защиты. ИТ.МЭ.Б4.ПЗ), Требования к СОВ, Профили защиты СОВ(cети четвертого класса защиты. ИТ.СОВ.С4.ПЗ), ЗБ","серия","АНО «Институт инженерной физики»","АО «Лаборатория ППШ»","АО «ИнфоТеКС»","125167, г. Москва, вн.тер.г. муниципальный округ Хорошевский, ул. Викторенко, д. 9, стр. 1, помещ. 47, (495) 737-6192","2026-12-28"
"4502","2021-12-28","2026-12-28","программное средство «Атом.Мост»","Соответствует требованиям документов: Требования доверия(4), ТУ","серия","АО Центр «Атомзащитаинформ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","АО «Гринатом»","119017, г. Москва, ул. Большая Ордынка, д. 24, (499) 949-4919",""
"4503","2021-12-28","2026-12-28","программно-аппаратный комплекс Межсетевой экран с системой обнаружения вторжений Ideco UTM","Соответствует требованиям документов: Требования доверия(4), Требования к МЭ, Профиль защиты МЭ(А четвертого класса защиты. ИТ.МЭ.А4.ПЗ), Профиль защиты МЭ(Б четвертого класса защиты. ИТ.МЭ.Б4.ПЗ), Требования к СОВ, Профили защиты СОВ(cети четвертого класса защиты. ИТ.СОВ.С4.ПЗ)","серия","ООО НТЦ «Фобос-НТ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ООО «Айдеко Софтвер»","620137, Екатеринбург, ул. Кулибина, д. 2, оф. 504, (800) 555-33-40",""
"4504","2022-03-14","Бессрочно","Сервис предоставления государственных услуг информационно-аналитического обеспечения деятельности Министерства внутренних дел Российской Федерации","Соответствует требованиям документов: Требования доверия(4), ТУ","1","АО «НПО «Эшелон»","ФСТЭК России","МВД России","119049, г. Москва, ул. Житная, д. 16, (495) 667-5206",""
"4505","2022-01-14","2027-01-14","программный комплекс «ОТР. Универсальный сервер безопасности» (ПК «ОТР.УСБ»)","Соответствует требованиям документов: Требования доверия(2), ТУ","серия","АО «НПО «Эшелон»","АО «Лаборатория ППШ»","ООО «ОТР 2000»","127474, г. Москва, вн.тер.г. муниципальный округ Бескудниковский, ш. Дмитровское, д. 60, (495) 223-07-99","2030-12-31"
"4506","2022-02-11","Бессрочно","программное обеспечение «Федеральная государственная информационная система учета и контроля за обращением с отходами I и II классов опасности»","Соответствует требованиям документов: Требования доверия(5), ТУ","10","ООО «ЦБИ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ФГУП «Федеральный экологический оператор»","119017, г. Москва, ул. Большая ордынка, дом 24, +7 (495) 710-76-48",""
"4507","2022-01-19","Действие сертификата соответствия приостановлено 24 мая 2023 г.","программный комплекс Group-IB Threat Hunting Framework","Соответствует требованиям документов: Требования доверия(4), ТУ","серия","ООО НТЦ «Фобос-НТ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ООО «Группа АйБи ТДС»","115088, г. Москва, ул. Шарикоподшипниковская, д. 1, (495) 984-3364",""
"4508","2022-01-17","2027-01-17","программа поиска и гарантированного уничтожения информации на дисках «TERRIER» версия 3.0","Соответствует требованиям документов: Требования доверия(2), ТУ","серия","АО «БИТК»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","АО «ЦБИ-сервис»","141090, Московская область, г.о. Королев, г. Королев, мкр. Юбилейный, ул. Пионерская, д. 1/4, помещение XVII, (495) 510-4498",""
"4509","2022-01-26","2027-01-26","программное обеспечение «Avanpost WebSSO»","Соответствует требованиям документов: Требования доверия(4), ТУ","серия","АО «НПО «Эшелон»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ООО «Аванпост»","109129, г. Москва, ул. 8-я Текстильщиков, д. 11, стр. 2, (495) 641-8080","2028-01-26"
"4510","2022-01-14","Бессрочно","программное обеспечение «Сервис электронного документооборота»","Соответствует требованиям документов: Требования доверия(4), ТУ","1","АО «НПО «Эшелон»","ФСТЭК России","ФГКУ «ГЦИТ войск национальной гвардии»","111250, г. Москва, ул. Красноказарменная, д. 9А, (495) 361-87-39",""
"4512","2022-02-21","Бессрочно","программное обеспечение «Сервис обеспечения кадровой деятельности единой информационно-аналитической системы обеспечения деятельности органов внутренних дел МВД России»","Соответствует требованиям документов: Требования доверия(4), ТУ","300","АО «НПО «Эшелон»","ФСТЭК России","МВД России","119049, г. Москва, ул. Житная, д. 16, (495) 667-5206",""
"4515","2022-04-19","2027-04-19","программно-аппаратный комплекс аутентификации и хранения информации «Guardant ID» версии 2","Соответствует требованиям документов: Требования доверия(2), ТУ","серия","ООО «ЦБИ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","АО «Актив-софт»","115088, г. Москва, ул. Шарикоподшипниковская, д. 1, этаж 4, пом. IX, комн. 11, (495) 925-7790","2032-04-19"
"4516","2022-01-25","2027-01-25","программное обеспечение JaCarta Management System 4 LX","Соответствует требованиям документов: Требования доверия(4), ТУ","серия","ООО НТЦ «Фобос-НТ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","АО «Аладдин Р.Д.»","129226, г. Москва, ул. Докукина, д. 16, стр. 1, (495) 223-0001","2030-01-25"
"4517","2022-02-02","2027-02-02","Антивирус VR Protect для Linux","Соответствует требованиям документов: Требования доверия(4), Требования к САВЗ, Профиль защиты САВЗ(В четвертого класса защиты. ИТ.САВЗ.В4.ПЗ)","серия","ПФ АО «НТЦ «Атлас»","АО «НПО «Эшелон»","ООО «Вычислительные решения»","117587, г. Москва, Варшавское шоссе, д. 125, стр. 17, пом. 1, ком. 32, 8 (495) 769-30-30",""
